[BATCH 13.9 | 20203107PORD:2789234]
[BATCH 13.4 | 20202101PORD:5345464]
[BATCH 11.3 | 20200302DORD:9876622]
[BATCH 11.5 | 20200502PORD:9384322]
[BATCH 13.1 | 20200102DORD:8372938]
[BATCH 10.1 | 20200103DORD:8393445]
[BATCH 11.2 | 20200202DORD:9098727]
[BATCH 10.3 | 20200303PORD:8293872]
[BATCH 10.4 | 20200403DORD:7389020]
[BATCH 13.5 | 20202201PORD:3432345]
[BATCH 13.2 | 20202101PORD:9485421]
[BATCH 10.5 | 20200104PORD:7398303]
[BATCH 13.3 | 20202201PORD:2345565]
[BATCH 09.1 | 20200204DORD:8273298]
[BATCH 11.1 | 20200102DORD:7876567]
[BATCH 09.2 | 20200304DORD:9888727]
[BATCH 13.6 | 20202501PORD:8762655]
[BATCH 09.3 | 20200404DORD:8726263]
[BATCH 09.4 | 20200105PORD:9837838]
[BATCH 12.1 | 20200205PORD:9287372]
[BATCH 12.2 | 20200305PORD:7832673]
[BATCH 11.4 | 20200402DORD:9494543]
[BATCH 12.3 | 20200405PORD:8365345]
[BATCH 10.2 | 20200203DORD:8374632]
[BATCH 12.6 | 20200306DORD:2943333]
[BATCH 12.4 | 20200106DORD:9485948]
[BATCH 12.7 | 20200406DORD:3095959]
[BATCH 12.9 | 20200207DORD:9889778]
[BATCH 08.1 | 20200307DORD:8765676]
[BATCH 12.5 | 20200206DORD:9878788]
[BATCH 08.3 | 20200108PORD:9387327]
[BATCH 12.8 | 20200107PORD:9876655]
[BATCH 08.4 | 20200208PORD:7567676]
[BATCH 08.5 | 20200308PORD:8878876]
[BATCH 08.7 | 20200109DORD:9788766]
[BATCH 08.8 | 20200209DORD:8767677]
[BATCH 08.6 | 20200408DORD:8966576]
[BATCH 09.5 | 20200409DORD:0494343]
[BATCH 09.6 | 20200110PORD:3940393]
[BATCH 08.2 | 20200407DORD:8918717]
[BATCH 09.7 | 20200210PORD:8876611]
[BATCH 09.8 | 20200310PORD:8171727]
[BATCH 09.9 | 20200410DORD:8272662]
[BATCH 10.6 | 20200111DORD:6762787]
[BATCH 10.7 | 20200211PORD:7654665]
[BATCH 10.8 | 20200311PORD:8392938]
[BATCH 10.9 | 20200411PORD:0298089]
[BATCH 11.6 | 20200112DORD:9012388]
[BATCH 11.8 | 20200312PORD:9272372]
[BATCH 08.9 | 20200309DORD:9872982]
[BATCH 11.9 | 20200412DORD:9283838]
[BATCH 11.7 | 20200212DORD:9282873]
